,Disease,Symptom
0,Fungal infection,itching
1,Fungal infection, skin_rash
2,Fungal infection, nodal_skin_eruptions
3,Fungal infection, dischromic _patches
4,Fungal infection, skin_rash
5,Fungal infection, nodal_skin_eruptions
6,Fungal infection, dischromic _patches
7,Fungal infection,itching
8,Fungal infection, nodal_skin_eruptions
9,Fungal infection, dischromic _patches
10,Fungal infection,itching
11,Fungal infection, skin_rash
12,Fungal infection, dischromic _patches
13,Fungal infection,itching
14,Fungal infection, skin_rash
15,Fungal infection, nodal_skin_eruptions
16,Fungal infection, skin_rash
17,Fungal infection, nodal_skin_eruptions
18,Fungal infection, dischromic _patches
19,Fungal infection,itching
20,Fungal infection, nodal_skin_eruptions
21,Fungal infection, dischromic _patches
22,Fungal infection,itching
23,Fungal infection, skin_rash
24,Fungal infection, dischromic _patches
25,Fungal infection,itching
26,Fungal infection, skin_rash
27,Fungal infection, nodal_skin_eruptions
28,Fungal infection,itching
29,Fungal infection, skin_rash
30,Fungal infection, nodal_skin_eruptions
31,Fungal infection, dischromic _patches
32,Allergy, continuous_sneezing
33,Allergy, shivering
34,Allergy, chills
35,Allergy, watering_from_eyes
36,Allergy, shivering
37,Allergy, chills
38,Allergy, watering_from_eyes
39,Allergy, continuous_sneezing
40,Allergy, chills
41,Allergy, watering_from_eyes
42,Allergy, continuous_sneezing
43,Allergy, shivering
44,Allergy, watering_from_eyes
45,Allergy, continuous_sneezing
46,Allergy, shivering
47,Allergy, chills
48,Allergy, shivering
49,Allergy, chills
50,Allergy, watering_from_eyes
51,Allergy, continuous_sneezing
52,Allergy, chills
53,Allergy, watering_from_eyes
54,Allergy, continuous_sneezing
55,Allergy, shivering
56,Allergy, watering_from_eyes
57,Allergy, continuous_sneezing
58,Allergy, shivering
59,Allergy, chills
60,Allergy, continuous_sneezing
61,Allergy, shivering
62,Allergy, chills
63,Allergy, watering_from_eyes
64,GERD, stomach_pain
65,GERD, acidity
66,GERD, ulcers_on_tongue
67,GERD, vomiting
68,GERD, cough
69,GERD, chest_pain
70,GERD, stomach_pain
71,GERD, ulcers_on_tongue
72,GERD, vomiting
73,GERD, cough
74,GERD, chest_pain
75,GERD, stomach_pain
76,GERD, acidity
77,GERD, vomiting
78,GERD, cough
79,GERD, chest_pain
80,GERD, stomach_pain
81,GERD, acidity
82,GERD, ulcers_on_tongue
83,GERD, cough
84,GERD, chest_pain
85,GERD, stomach_pain
86,GERD, acidity
87,GERD, ulcers_on_tongue
88,GERD, vomiting
89,GERD, chest_pain
90,GERD, stomach_pain
91,GERD, acidity
92,GERD, ulcers_on_tongue
93,GERD, vomiting
94,GERD, cough
95,GERD, acidity
96,GERD, ulcers_on_tongue
97,GERD, vomiting
98,GERD, cough
99,GERD, chest_pain
100,GERD, stomach_pain
101,GERD, ulcers_on_tongue
102,GERD, vomiting
103,GERD, cough
104,GERD, chest_pain
105,GERD, stomach_pain
106,GERD, acidity
107,GERD, vomiting
108,GERD, cough
109,GERD, chest_pain
110,GERD, stomach_pain
111,GERD, acidity
112,GERD, ulcers_on_tongue
113,GERD, cough
114,GERD, chest_pain
115,Chronic cholestasis,itching
116,Chronic cholestasis, vomiting
117,Chronic cholestasis, yellowish_skin
118,Chronic cholestasis, nausea
119,Chronic cholestasis, loss_of_appetite
120,Chronic cholestasis, abdominal_pain
121,Chronic cholestasis, yellowing_of_eyes
122,Chronic cholestasis, vomiting
123,Chronic cholestasis, yellowish_skin
124,Chronic cholestasis, nausea
125,Chronic cholestasis, loss_of_appetite
126,Chronic cholestasis, abdominal_pain
127,Chronic cholestasis, yellowing_of_eyes
128,Chronic cholestasis,itching
129,Chronic cholestasis, yellowish_skin
130,Chronic cholestasis, nausea
131,Chronic cholestasis, loss_of_appetite
132,Chronic cholestasis, abdominal_pain
133,Chronic cholestasis, yellowing_of_eyes
134,Chronic cholestasis,itching
135,Chronic cholestasis, vomiting
136,Chronic cholestasis, nausea
137,Chronic cholestasis, loss_of_appetite
138,Chronic cholestasis, abdominal_pain
139,Chronic cholestasis, yellowing_of_eyes
140,Chronic cholestasis,itching
141,Chronic cholestasis, vomiting
142,Chronic cholestasis, yellowish_skin
